Filename,Number of Samples,Polymer Type,Temperature,Spinning Speed,Sample,Was CFD?,Identifier,Zero Shear Viscosity,Relaxation Time,Reynolds,Weissenberg,Weissen*ZeroShear,Gc,PI,Gps,Gpps,Average Area,Stdev Area,Threshold,Hollow,Average Solid Fract,Stdev Solid Fract,standard error of mean,guess,error,squares,Why masked?
"M1-210-0,17@437",42,M1,210,0.17,1,0,M1-210,352.3012,0.00169,0.48254,0.28792,101.43455,0.03981,2.51174,0.89686,1.51713,363.45431,73.89511,0.74,0.17552,0.82448,0.03535,0.01069,0.20891,0.00111,1.91E-04,
"M1-210-0,25@643CFD",34,M1,210,0.25,2,1,M1-210,352.3012,0.00169,0.70962,0.42341,149.16846,0.03981,2.51174,0.89686,1.51713,385.79374,62.7226,0.705,0.21544,0.78456,0.00814,0.00274,0.2349,3.79E-04,0.00289,
"M1-210-0,33@848",33,M1,210,0.33,3,0,M1-210,352.3012,0.00169,0.9367,0.5589,196.90236,0.03981,2.51174,0.89686,1.51713,413.85867,78.65067,0.7,0.22133,0.77867,0.0278,0.00949,0.24718,6.68E-04,0.00355,
"M1-210-0,41@1054",40,M1,210,0.41,4,0,M1-210,352.3012,0.00169,1.16378,0.6944,244.63627,0.03981,2.51174,0.89686,1.51713,380.89755,45.76545,0.71,0.2277,0.7723,0.00945,0.00293,0.24575,3.26E-04,0.00435,
"P2-210-0,33@848",43,P2,210,0.33,58,0,P2-210,240.3848,0.00121,1.3728,0.3977,95.60171,0.03473,2.87948,0.89393,1.45234,387.99147,59.71045,0.735,0.1966,0.8034,0.00764,0.00228,0.18239,2.02E-04,0.00122,
"P3-210-0,41@1054",33,P3,210,0.41,70,0,P3-210,321.75117,0.00158,1.27428,0.64786,208.45097,0.03692,2.70857,0.88284,1.44675,370.99494,71.19986,0.7,0.22561,0.77439,0.02055,0.00701,0.22628,4.60E-07,0.00408,
"M5-210(prob)-0,41@1054CFD",35,M5,210,0.41,33,1,M5-210,315.04317,0.0016,1.30141,0.65738,207.10355,0.04169,2.39853,0.91881,1.58393,406.19463,46.14192,0.68,0.24937,0.75063,0.00937,0.0031,0.2209,8.11E-04,0.00768,
"M5-210-0,33@848",31,M5,210,0.33,34,0,M5-210,315.04317,0.0016,1.04748,0.52911,166.6931,0.04169,2.39853,0.91881,1.58393,380.23984,48.24475,0.685,0.24913,0.75087,0.01096,0.00386,0.22418,6.23E-04,0.00764,
"P2-210-0,25@643",37,P2,210,0.25,57,0,P2-210,240.3848,0.00121,1.04,0.30129,72.42554,0.03473,2.87948,0.89393,1.45234,408.64827,82.25601,0.735,0.17538,0.82462,0.02766,0.00891,0.17503,1.23E-07,1.87E-04,
"P2-210-0,41@1054",37,P2,210,0.41,59,0,P2-210,240.3848,0.00121,1.7056,0.49412,118.77788,0.03473,2.87948,0.89393,1.45234,409.70849,51.04753,0.705,0.2167,0.7833,0.01076,0.00347,0.18281,0.00115,0.00302,
